,STATION,STATION_NAME,DATE,PRCP
4645,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-06-27,0.45
4646,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-06-28,0.12
4647,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-06-29,0.01
4648,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-06-30,0.0
4649,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-01,0.83
4650,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-02,0.0
4651,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-03,0.0
4652,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-04,0.49
4653,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-05,0.66
4654,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-06,0.0
4655,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-07,0.04
4656,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-08,0.08
4657,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-09,0.53
4658,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-10,0.0
4659,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-11,0.0
4660,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-12,0.0
4661,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-13,0.0
4662,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-14,0.62
4663,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-15,0.0
4664,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-16,0.0
4665,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-17,0.0
4666,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-18,0.35
4667,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-07-19,0.0
