,TRANSITING,UN_STATION,DATE,DAY_OF_WEEK
0,13388.0,103ST1,2016-05-29,Sunday
1,11757.0,103ST1,2016-05-30,Monday
2,11084.0,103ST1,2016-05-31,Tuesday
3,19242.0,103ST1,2016-06-01,Wednesday
4,19981.0,103ST1,2016-06-02,Thursday
5,20779.0,103ST1,2016-06-03,Friday
6,19724.0,103ST1,2016-06-04,Saturday
7,15330.0,103ST1,2016-06-05,Sunday
8,12935.0,103ST1,2016-06-06,Monday
9,19206.0,103ST1,2016-06-07,Tuesday
10,20184.0,103ST1,2016-06-08,Wednesday
11,20838.0,103ST1,2016-06-09,Thursday
12,20721.0,103ST1,2016-06-10,Friday
13,20484.0,103ST1,2016-06-11,Saturday
14,14356.0,103ST1,2016-06-12,Sunday
15,12501.0,103ST1,2016-06-13,Monday
16,19057.0,103ST1,2016-06-14,Tuesday
17,19794.0,103ST1,2016-06-15,Wednesday
18,20490.0,103ST1,2016-06-16,Thursday
19,20728.0,103ST1,2016-06-17,Friday
20,20338.0,103ST1,2016-06-18,Saturday
21,14329.0,103ST1,2016-06-19,Sunday
22,11925.0,103ST1,2016-06-20,Monday
23,19073.0,103ST1,2016-06-21,Tuesday
24,19671.0,103ST1,2016-06-22,Wednesday
25,19761.0,103ST1,2016-06-23,Thursday
26,20198.0,103ST1,2016-06-24,Friday
27,19979.0,103ST1,2016-06-25,Saturday
28,14500.0,103ST1,2016-06-26,Sunday
29,12752.0,103ST1,2016-06-27,Monday
30,19205.0,103ST1,2016-06-28,Tuesday
31,19414.0,103ST1,2016-06-29,Wednesday
32,19530.0,103ST1,2016-06-30,Thursday
33,19236.0,103ST1,2016-07-01,Friday
34,17893.0,103ST1,2016-07-02,Saturday
35,12958.0,103ST1,2016-07-03,Sunday
36,11489.0,103ST1,2016-07-04,Monday
37,10937.0,103ST1,2016-07-05,Tuesday
38,17217.0,103ST1,2016-07-06,Wednesday
39,18420.0,103ST1,2016-07-07,Thursday
40,18653.0,103ST1,2016-07-08,Friday
41,18156.0,103ST1,2016-07-09,Saturday
42,13033.0,103ST1,2016-07-10,Sunday
43,11980.0,103ST1,2016-07-11,Monday
44,18118.0,103ST1,2016-07-12,Tuesday
45,19323.0,103ST1,2016-07-13,Wednesday
46,17803.0,103ST1,2016-07-14,Thursday
47,19362.0,103ST1,2016-07-15,Friday
48,18688.0,103ST1,2016-07-16,Saturday
49,13969.0,103ST1,2016-07-17,Sunday
50,12013.0,103ST1,2016-07-18,Monday
51,17733.0,103ST1,2016-07-19,Tuesday
52,18823.0,103ST1,2016-07-20,Wednesday
53,19303.0,103ST1,2016-07-21,Thursday
54,19429.0,103ST1,2016-07-22,Friday
55,18261.0,103ST1,2016-07-23,Saturday
56,13722.0,103ST1,2016-07-24,Sunday
57,12049.0,103ST1,2016-07-25,Monday
58,17623.0,103ST1,2016-07-26,Tuesday
59,18696.0,103ST1,2016-07-27,Wednesday
60,18779.0,103ST1,2016-07-28,Thursday
61,18967.0,103ST1,2016-07-29,Friday
62,18276.0,103ST1,2016-07-30,Saturday
63,13241.0,103ST1,2016-07-31,Sunday
64,11352.0,103ST1,2016-08-01,Monday
65,17420.0,103ST1,2016-08-02,Tuesday
66,18108.0,103ST1,2016-08-03,Wednesday
67,18639.0,103ST1,2016-08-04,Thursday
68,18648.0,103ST1,2016-08-05,Friday
69,17759.0,103ST1,2016-08-06,Saturday
70,12275.0,103ST1,2016-08-07,Sunday
71,10258.0,103ST1,2016-08-08,Monday
72,16943.0,103ST1,2016-08-09,Tuesday
73,17980.0,103ST1,2016-08-10,Wednesday
74,17750.0,103ST1,2016-08-11,Thursday
75,18200.0,103ST1,2016-08-12,Friday
76,16991.0,103ST1,2016-08-13,Saturday
77,11489.0,103ST1,2016-08-14,Sunday
78,10013.0,103ST1,2016-08-15,Monday
79,16812.0,103ST1,2016-08-16,Tuesday
80,17444.0,103ST1,2016-08-17,Wednesday
81,17458.0,103ST1,2016-08-18,Thursday
82,17395.0,103ST1,2016-08-19,Friday
83,16947.0,103ST1,2016-08-20,Saturday
84,5512.0,103ST1,2016-08-21,Sunday
85,4726.0,103ST1,2016-08-22,Monday
86,16330.0,103ST1,2016-08-23,Tuesday
87,17188.0,103ST1,2016-08-24,Wednesday
88,17157.0,103ST1,2016-08-25,Thursday
89,17451.0,103ST1,2016-08-26,Friday
90,16863.0,103ST1,2016-08-27,Saturday
91,4700.0,103ST1,2016-08-28,Sunday
92,4117.0,103ST1,2016-08-29,Monday
93,16241.0,103ST1,2016-08-30,Tuesday
94,17284.0,103ST1,2016-08-31,Wednesday
95,17482.0,103ST1,2016-09-01,Thursday
96,17844.0,103ST1,2016-09-02,Friday
97,17252.0,103ST1,2016-09-03,Saturday
98,11931.0,103ST1,2016-09-04,Sunday
99,10567.0,103ST1,2016-09-05,Monday
100,10700.0,103ST1,2016-09-06,Tuesday
101,18014.0,103ST1,2016-09-07,Wednesday
102,19066.0,103ST1,2016-09-08,Thursday
103,20178.0,103ST1,2016-09-09,Friday
104,19472.0,103ST1,2016-09-10,Saturday
105,5133.0,103ST1,2016-09-11,Sunday
106,4282.0,103ST1,2016-09-12,Monday
107,17660.0,103ST1,2016-09-13,Tuesday
108,19952.0,103ST1,2016-09-14,Wednesday
109,20619.0,103ST1,2016-09-15,Thursday
110,20931.0,103ST1,2016-09-16,Friday
111,20404.0,103ST1,2016-09-17,Saturday
112,14005.0,103ST1,2016-09-18,Sunday
113,10910.0,103ST1,2016-09-19,Monday
114,19237.0,103ST1,2016-09-20,Tuesday
115,19783.0,103ST1,2016-09-21,Wednesday
116,20412.0,103ST1,2016-09-22,Thursday
117,20471.0,103ST1,2016-09-23,Friday
118,15117.0,103ST6,2016-05-29,Sunday
119,12622.0,103ST6,2016-05-30,Monday
120,12491.0,103ST6,2016-05-31,Tuesday
121,26667.0,103ST6,2016-06-01,Wednesday
122,27947.0,103ST6,2016-06-02,Thursday
123,28401.0,103ST6,2016-06-03,Friday
124,29157.0,103ST6,2016-06-04,Saturday
125,17559.0,103ST6,2016-06-05,Sunday
126,12045.0,103ST6,2016-06-06,Monday
127,27651.0,103ST6,2016-06-07,Tuesday
128,28898.0,103ST6,2016-06-08,Wednesday
129,29021.0,103ST6,2016-06-09,Thursday
130,27931.0,103ST6,2016-06-10,Friday
131,28604.0,103ST6,2016-06-11,Saturday
132,19385.0,103ST6,2016-06-12,Sunday
133,14333.0,103ST6,2016-06-13,Monday
134,27518.0,103ST6,2016-06-14,Tuesday
135,28848.0,103ST6,2016-06-15,Wednesday
136,28979.0,103ST6,2016-06-16,Thursday
137,27741.0,103ST6,2016-06-17,Friday
138,28092.0,103ST6,2016-06-18,Saturday
139,18222.0,103ST6,2016-06-19,Sunday
140,13990.0,103ST6,2016-06-20,Monday
141,26703.0,103ST6,2016-06-21,Tuesday
142,27671.0,103ST6,2016-06-22,Wednesday
143,28011.0,103ST6,2016-06-23,Thursday
144,27208.0,103ST6,2016-06-24,Friday
145,27874.0,103ST6,2016-06-25,Saturday
146,19414.0,103ST6,2016-06-26,Sunday
147,14368.0,103ST6,2016-06-27,Monday
148,26457.0,103ST6,2016-06-28,Tuesday
149,27582.0,103ST6,2016-06-29,Wednesday
150,26667.0,103ST6,2016-06-30,Thursday
151,26241.0,103ST6,2016-07-01,Friday
152,24470.0,103ST6,2016-07-02,Saturday
153,11307.0,103ST6,2016-07-03,Sunday
154,9158.0,103ST6,2016-07-04,Monday
155,13652.0,103ST6,2016-07-05,Tuesday
156,24758.0,103ST6,2016-07-06,Wednesday
157,25720.0,103ST6,2016-07-07,Thursday
158,26059.0,103ST6,2016-07-08,Friday
159,26317.0,103ST6,2016-07-09,Saturday
160,15945.0,103ST6,2016-07-10,Sunday
161,13573.0,103ST6,2016-07-11,Monday
162,26437.0,103ST6,2016-07-12,Tuesday
163,27458.0,103ST6,2016-07-13,Wednesday
164,26681.0,103ST6,2016-07-14,Thursday
165,27314.0,103ST6,2016-07-15,Friday
166,26356.0,103ST6,2016-07-16,Saturday
167,16393.0,103ST6,2016-07-17,Sunday
168,13428.0,103ST6,2016-07-18,Monday
169,26010.0,103ST6,2016-07-19,Tuesday
170,27527.0,103ST6,2016-07-20,Wednesday
171,27484.0,103ST6,2016-07-21,Thursday
172,27921.0,103ST6,2016-07-22,Friday
173,27273.0,103ST6,2016-07-23,Saturday
174,16911.0,103ST6,2016-07-24,Sunday
175,13645.0,103ST6,2016-07-25,Monday
176,25228.0,103ST6,2016-07-26,Tuesday
177,27102.0,103ST6,2016-07-27,Wednesday
178,28466.0,103ST6,2016-07-28,Thursday
179,27363.0,103ST6,2016-07-29,Friday
180,25956.0,103ST6,2016-07-30,Saturday
181,16530.0,103ST6,2016-07-31,Sunday
182,12288.0,103ST6,2016-08-01,Monday
183,25648.0,103ST6,2016-08-02,Tuesday
184,26724.0,103ST6,2016-08-03,Wednesday
185,27283.0,103ST6,2016-08-04,Thursday
186,26965.0,103ST6,2016-08-05,Friday
187,26479.0,103ST6,2016-08-06,Saturday
188,15630.0,103ST6,2016-08-07,Sunday
189,13281.0,103ST6,2016-08-08,Monday
190,25223.0,103ST6,2016-08-09,Tuesday
191,26416.0,103ST6,2016-08-10,Wednesday
192,26184.0,103ST6,2016-08-11,Thursday
193,26253.0,103ST6,2016-08-12,Friday
194,24925.0,103ST6,2016-08-13,Saturday
195,15065.0,103ST6,2016-08-14,Sunday
196,12095.0,103ST6,2016-08-15,Monday
197,24103.0,103ST6,2016-08-16,Tuesday
198,25034.0,103ST6,2016-08-17,Wednesday
199,26856.0,103ST6,2016-08-18,Thursday
200,25826.0,103ST6,2016-08-19,Friday
201,25270.0,103ST6,2016-08-20,Saturday
202,15602.0,103ST6,2016-08-21,Sunday
203,12373.0,103ST6,2016-08-22,Monday
204,24205.0,103ST6,2016-08-23,Tuesday
205,25356.0,103ST6,2016-08-24,Wednesday
206,25580.0,103ST6,2016-08-25,Thursday
207,25291.0,103ST6,2016-08-26,Friday
208,24995.0,103ST6,2016-08-27,Saturday
209,16755.0,103ST6,2016-08-28,Sunday
210,13258.0,103ST6,2016-08-29,Monday
