,TRANSITING,UN_STATION,DAY_OF_WEEK
0,329191.0,103ST1,Friday
1,175626.0,103ST1,Monday
2,297487.0,103ST1,Saturday
3,203871.0,103ST1,Sunday
4,323488.0,103ST1,Thursday
5,283379.0,103ST1,Tuesday
6,318117.0,103ST1,Wednesday
7,435924.0,103ST6,Friday
8,222159.0,103ST6,Monday
9,430677.0,103ST6,Saturday
10,280214.0,103ST6,Sunday
11,434906.0,103ST6,Thursday
12,405689.0,103ST6,Tuesday
13,462549.0,103ST6,Wednesday
14,140705.0,103STBC,Friday
15,67354.0,103STBC,Monday
16,129790.0,103STBC,Saturday
17,78784.0,103STBC,Sunday
18,142917.0,103STBC,Thursday
19,123549.0,103STBC,Tuesday
20,139512.0,103STBC,Wednesday
21,596822.0,103STCORONA7,Friday
22,356994.0,103STCORONA7,Monday
23,563458.0,103STCORONA7,Saturday
24,445706.0,103STCORONA7,Sunday
25,603784.0,103STCORONA7,Thursday
26,538198.0,103STCORONA7,Tuesday
27,590946.0,103STCORONA7,Wednesday
28,39132.0,104STA,Friday
29,10898.0,104STA,Monday
30,35129.0,104STA,Saturday
31,14748.0,104STA,Sunday
32,39726.0,104STA,Thursday
33,34342.0,104STA,Tuesday
34,39262.0,104STA,Wednesday
35,48655.0,104STJZ,Friday
36,23721.0,104STJZ,Monday
37,45036.0,104STJZ,Saturday
38,30957.0,104STJZ,Sunday
39,49282.0,104STJZ,Thursday
40,43324.0,104STJZ,Tuesday
41,48997.0,104STJZ,Wednesday
42,366124.0,110ST6,Friday
43,196797.0,110ST6,Monday
44,343634.0,110ST6,Saturday
45,249827.0,110ST6,Sunday
46,364025.0,110ST6,Thursday
47,320363.0,110ST6,Tuesday
48,360023.0,110ST6,Wednesday
49,324362.0,111ST7,Friday
50,208749.0,111ST7,Monday
51,308159.0,111ST7,Saturday
52,264102.0,111ST7,Sunday
53,300394.0,111ST7,Thursday
54,287762.0,111ST7,Tuesday
55,315317.0,111ST7,Wednesday
56,58893.0,111STA,Friday
57,15691.0,111STA,Monday
58,52997.0,111STA,Saturday
59,21110.0,111STA,Sunday
60,59435.0,111STA,Thursday
61,50675.0,111STA,Tuesday
62,59602.0,111STA,Wednesday
63,68454.0,111STJ,Friday
64,33944.0,111STJ,Monday
65,62748.0,111STJ,Saturday
66,41431.0,111STJ,Sunday
67,69274.0,111STJ,Thursday
68,61053.0,111STJ,Tuesday
69,68568.0,111STJ,Wednesday
70,289745.0,116ST23,Friday
71,175562.0,116ST23,Monday
72,276856.0,116ST23,Saturday
73,198456.0,116ST23,Sunday
74,291389.0,116ST23,Thursday
75,255609.0,116ST23,Tuesday
76,285188.0,116ST23,Wednesday
77,362179.0,116ST6,Friday
78,213254.0,116ST6,Monday
79,350913.0,116ST6,Saturday
80,268892.0,116ST6,Sunday
81,361317.0,116ST6,Thursday
82,324726.0,116ST6,Tuesday
83,362011.0,116ST6,Wednesday
84,168396.0,116STBC,Friday
85,67794.0,116STBC,Monday
86,160289.0,116STBC,Saturday
87,72136.0,116STBC,Sunday
88,168979.0,116STBC,Thursday
89,141661.0,116STBC,Tuesday
90,164472.0,116STBC,Wednesday
91,386053.0,116STCOLUMBIA1,Friday
92,133263.0,116STCOLUMBIA1,Monday
93,317141.0,116STCOLUMBIA1,Saturday
94,152050.0,116STCOLUMBIA1,Sunday
95,380298.0,116STCOLUMBIA1,Thursday
96,320852.0,116STCOLUMBIA1,Tuesday
97,376234.0,116STCOLUMBIA1,Wednesday
98,75400.0,121STJZ,Friday
99,40337.0,121STJZ,Monday
100,70196.0,121STJZ,Saturday
101,49201.0,121STJZ,Sunday
102,74969.0,121STJZ,Thursday
103,66942.0,121STJZ,Tuesday
104,74082.0,121STJZ,Wednesday
105,247786.0,125ST1,Friday
106,154214.0,125ST1,Monday
107,264469.0,125ST1,Saturday
108,177706.0,125ST1,Sunday
109,263877.0,125ST1,Thursday
110,231962.0,125ST1,Tuesday
111,258134.0,125ST1,Wednesday
112,195939.0,125ST23,Friday
113,117551.0,125ST23,Monday
114,237551.0,125ST23,Saturday
115,139449.0,125ST23,Sunday
116,196338.0,125ST23,Thursday
117,180629.0,125ST23,Tuesday
118,193650.0,125ST23,Wednesday
119,771956.0,125ST456,Friday
120,404448.0,125ST456,Monday
121,750658.0,125ST456,Saturday
122,519702.0,125ST456,Sunday
123,771215.0,125ST456,Thursday
124,671268.0,125ST456,Tuesday
125,755762.0,125ST456,Wednesday
126,880480.0,125STABCD,Friday
127,576744.0,125STABCD,Monday
128,837800.0,125STABCD,Saturday
129,698068.0,125STABCD,Sunday
130,885139.0,125STABCD,Thursday
131,770828.0,125STABCD,Tuesday
132,856273.0,125STABCD,Wednesday
133,299780.0,135ST23,Friday
134,164569.0,135ST23,Monday
135,280595.0,135ST23,Saturday
136,189832.0,135ST23,Sunday
137,300418.0,135ST23,Thursday
138,267277.0,135ST23,Tuesday
139,305428.0,135ST23,Wednesday
140,166705.0,135STBC,Friday
141,57985.0,135STBC,Monday
142,148865.0,135STBC,Saturday
143,69017.0,135STBC,Sunday
144,168181.0,135STBC,Thursday
145,137726.0,135STBC,Tuesday
146,164160.0,135STBC,Wednesday
147,362700.0,137STCITYCOL1,Friday
148,238342.0,137STCITYCOL1,Monday
149,379429.0,137STCITYCOL1,Saturday
150,230626.0,137STCITYCOL1,Sunday
151,368650.0,137STCITYCOL1,Thursday
152,314956.0,137STCITYCOL1,Tuesday
153,363380.0,137STCITYCOL1,Wednesday
154,113457.0,138GRANDCONC45,Friday
155,46123.0,138GRANDCONC45,Monday
156,104704.0,138GRANDCONC45,Saturday
157,63444.0,138GRANDCONC45,Sunday
158,113646.0,138GRANDCONC45,Thursday
159,95817.0,138GRANDCONC45,Tuesday
160,113576.0,138GRANDCONC45,Wednesday
161,298242.0,145ST1,Friday
162,207630.0,145ST1,Monday
163,283363.0,145ST1,Saturday
164,240246.0,145ST1,Sunday
165,297227.0,145ST1,Thursday
166,269674.0,145ST1,Tuesday
167,293937.0,145ST1,Wednesday
168,63953.0,145ST3,Friday
169,28624.0,145ST3,Monday
170,59364.0,145ST3,Saturday
171,36573.0,145ST3,Sunday
172,63931.0,145ST3,Thursday
173,54611.0,145ST3,Tuesday
174,62534.0,145ST3,Wednesday
175,812085.0,145STABCD,Friday
176,473081.0,145STABCD,Monday
177,726616.0,145STABCD,Saturday
178,563443.0,145STABCD,Sunday
179,807641.0,145STABCD,Thursday
180,705121.0,145STABCD,Tuesday
181,788555.0,145STABCD,Wednesday
182,372972.0,149GRANDCONC245,Friday
183,175532.0,149GRANDCONC245,Monday
184,309706.0,149GRANDCONC245,Saturday
185,219861.0,149GRANDCONC245,Sunday
186,371363.0,149GRANDCONC245,Thursday
187,321605.0,149GRANDCONC245,Tuesday
188,372833.0,149GRANDCONC245,Wednesday
189,1306828.0,14ST123FLM,Friday
190,680487.0,14ST123FLM,Monday
191,1174873.0,14ST123FLM,Saturday
192,795516.0,14ST123FLM,Sunday
193,1301522.0,14ST123FLM,Thursday
194,1074542.0,14ST123FLM,Tuesday
195,1259856.0,14ST123FLM,Wednesday
196,585948.0,14STACEL,Friday
197,254360.0,14STACEL,Monday
198,529192.0,14STACEL,Saturday
199,314831.0,14STACEL,Sunday
200,569862.0,14STACEL,Thursday
201,471734.0,14STACEL,Tuesday
202,548029.0,14STACEL,Wednesday
203,3247339.0,14STUNIONSQ456LNQR,Friday
204,1651872.0,14STUNIONSQ456LNQR,Monday
205,3056041.0,14STUNIONSQ456LNQR,Saturday
206,2124291.0,14STUNIONSQ456LNQR,Sunday
207,3286916.0,14STUNIONSQ456LNQR,Thursday
208,2765904.0,14STUNIONSQ456LNQR,Tuesday
209,3170431.0,14STUNIONSQ456LNQR,Wednesday
210,285805.0,14THSTREET1,Friday
211,90978.0,14THSTREET1,Monday
212,262678.0,14THSTREET1,Saturday
213,111530.0,14THSTREET1,Sunday
214,290579.0,14THSTREET1,Thursday
215,244191.0,14THSTREET1,Tuesday
216,281683.0,14THSTREET1,Wednesday
217,100527.0,155STBD,Friday
218,60721.0,155STBD,Monday
219,94978.0,155STBD,Saturday
220,74312.0,155STBD,Sunday
